title,author,publisher,isbn,year,pages
CADCAM - from principles to practice.,Chris MacMahon::Jimmie Browne,Addison-Wesley,978-0-201-56502-7,1993,
Logic synthesis and verification algorithms.,Gary D. Hachtel::Fabio Somenzi,Kluwer,978-0-7923-9746-5,1996,564
Exploring computer science with scheme (corrected printing).,Oliver Grillmeyer,Springer,978-0-387-94895-9,1998,579
"Programming C# - building .NET applications: covers C# 2.0, .NET 2.0 and visual studio 2005 (4 ed.).",Jesse Liberty,O'Reilly,978-0-596-00699-0,2005,644
Evolutionary Algorithms in Optimization of Linear Antenna Array.,Banani Basu::Arnab Nandi 0002,LAP Lambert Academic Publishing,978-3-659-53278-8,2014,60
"Speech and language processing - an introduction to natural language processing, computational linguistics, and speech recognition.",Daniel Jurafsky::James H. Martin,Prentice Hall,978-0-13-095069-7,2000,934
"Foundations of decision-making agents - logic, probability and modality.",Subrata Kumar Das,World Scientific,978-981-277-983-0,2008,366
"The executive guide to information security - threats, challenges and solutions.",Mark Egan::Timothy C. Mathar,Addison-Wesley,978-0-321-30451-3,2005,268
Essentials of fuzzy modeling and control.,Ronald R. Yager::Dimitar P. Filev,Wiley,978-0-471-01761-5,1994,388
Numerical methods.,Wolfgang Böhm 0003::Hartmut Prautzsch,Vieweg,978-3-528-06350-4,1993,186
Social network analysis - methods and applications.,Stanley Wasserman::Katherine Faust,Cambridge University Press,978-0-521-38707-1,2007,825
Interconnection networks for parallel and distributed processing - tutorial.,Chuan-lin Wu::Tse-Yun Feng,IEEE,,1984,647
Ant in Action - Second Edition of Java Development with Ant: covers Ant 1.7.,Steve Loughran::Erik Hatcher,Manning Publications Company,978-1-932394-80-1,2007,566
Database programming with JDBC and Java - Java 1.1.,George Reese 0002,O'Reilly,978-1-56592-270-9,1997,224
"Trends in Parsing Technology, Dependency Parsing, Domain Adaptation, and Deep Parsing",,Springer,978-90-481-9351-6::978-90-481-9352-3,2010,
Simplicial Homotopy Theory.,Paul G. Goerss::John F. Jardine,Birkhäuser,978-3-0346-0188-7,2009,510
Perl in a nutshell - a desktop quick reference.,Ellen Siever::Stephen Spainhour::Nathan Patwardhan,O'Reilly,978-1-56592-286-0,1999,654
Entropy Guided Transformation Learning - Algorithms and Applications.,Cícero Nogueira dos Santos::Ruy Luiz Milidiú,Springer,978-1-4471-2977-6,2012,78
Fractal image compression.,Michael F. Barnsley::Lyman P. Hurd,AK Peters,978-1-56881-000-3,1993,244
"Prediction, learning, and games.",Nicolò Cesa-Bianchi::Gábor Lugosi,Cambridge University Press,978-0-521-84108-5::978-0-511-54692-1,2006,394
A modular calculus for the average cost of data structuring.,Michel P. Schellekens,Springer,978-0-387-73383-8,2008,246
Photoshop 7 und ImageReady - perfekte Bildbearbeitung für Print- und Screendesign.,Helmut Kraus,dpunkt.verlag,978-3-89864-199-9,2002,400
Secure broadcast communication in wired and wireless networks.,Adrian Perrig::J. Doug Tygar,Springer,978-0-7923-7650-7,2003,214
Semantics of parallelism - non-interleaving representation of behaviour.,Michael W. Shields,Springer,978-3-540-76059-7,1997,473
"Handbook of geometric computing - applications in pattern recognition, computer vision, neuralcomputing, and robotics.",Eduardo Bayro-Corrochano,Springer,978-3-540-20595-1,2005,779
Linux in a nutshell (dt. Ausgabe).,Jessica Perry Hekman,O'Reilly,978-3-930673-57-5,1998,463
"Software design, automated testing, and maintenance - a practical approach.",Daniel Hoffman::Paul A. Strooper,International Thomson,978-1-85032-206-1,1995,399
Salience - Multidisciplinary Perspectives on its Function in Discourse,,Mouton De Gruyter,9783110241020,2011,
"Causation, coherence and concepts - a collection of essays.",Wolfgang Spohn,Springer,978-1-4020-5473-0,2008,386
Robotik - Programmierung intelligenter Roboter.,Hans-Jürgen Siegert::Siegfried Bocionek,Springer,978-3-540-60665-9,1996,304
Sammlung gewöhnlicher Differentialgleichungen.,Andrej D. Poljanin::Valentin F. Sajzew,Deutsch,978-3-8171-1389-7,1996,212
Behavior models - specifying user's expectations.,James A. Kowal,Prentice Hall,978-0-13-089434-2,1992,345
Betriebssysteme - Grundlagen und Konzepte.,Rüdiger W. Brause,Springer,978-3-540-62929-0,1998,378
Proteome Bioinformatics,,Springer,978-1-60761-443-2::978-1-60761-444-9,2010,
Das OSF Distributed Computing Environment - Grundlagen und Anwendung (2. Aufl.).,Alexander Schill,Springer,978-3-540-62571-1,1997,277
Unix programming environment.,Brian W. Kernighan::Rob Pike,Prentice Hall,978-0-13-937681-8,1984,357
L1 Adaptive Control Theory - Guaranteed Robustness with Fast Adaptation.,Naira Hovakimyan::Chengyu Cao,SIAM,978-0-89871-704-4,2010,317
Adobe InDesign CS4 one-on-one.,Deke MacClelland::David Futato,O'Reilly,978-0-596-52191-2,2008,560
Numerical solution of boundary value problems for ordinary differential equations.,Uri M. Ascher::Robert M. M. Mattheij::Robert D. Russell,SIAM,978-0-89871-354-1,1995,595
Intellectual property in the age of universal access.,,ACM,978-1-581-13169-7,2000,68
A Methodology for Systems Engineering.,Arthur D. Hall III,Van Nostrand Reinhold,,1962,478
Type and effect systems - behaviours for concurrency.,Torben Amtoft::Hanne Riis Nielson::Flemming Nielson,Imperial College Press,978-1-86094-154-2,1999,253
Mathematical techniques for analyzing concurrent and probabilistic systems.,Jan J. M. M. Rutten::Marta Z. Kwiatkowska::Gethin Norman::David Parker 0001::Prakash Panangaden,American Mathematical Society,978-0-8218-3571-5,2004,215
Automatic parallelization for a class of regular computation.,Graham M. Megson::Xian Chen,World Scientific,978-981-02-2806-4,1997,251
Enterprise Governance and Enterprise Engineering.,Jan A. P. Hoogervorst,Springer,978-3-540-92670-2::978-3-540-92671-9,2009,428
A Process Algebraic Approach to Software Architecture Design.,Alessandro Aldini::Marco Bernardo 0001::Flavio Corradini,Springer,978-1-84800-222-7,2010,304
Ontological semantics.,Sergei Nirenburg::Victor Raskin,MIT Press,978-0-262-14086-7,2004,419
Neurocomputing.,Robert Hecht-Nielsen,Addison-Wesley,978-0-201-09355-1,1990,433
"Software reuse - architecture, process and organization for business.",Ivar Jacobson::Martin L. Griss::Patrik Jonsson,Addison-Wesley-Longman,978-0-201-92476-3,1997,497
Java management extensions - managing Java applications with JMX.,James Steven Perry,O'Reilly,978-0-596-00245-9,2002,300
"Angewandte Kryptographie - Protokolle, Algorithmen und Sourcecode in C: der Klassiker.",Bruce Schneier,Pearson Education,978-3-8273-7228-4,2006,844
Vehicular Networking.,Christoph Sommer 0001::Falko Dressler,Cambridge University Press,978-1-10-704671-9,2014,353
Computer security basics (3. ed.).,Deborah Russell::G. T. Gangemi,O'Reilly,978-0-937175-71-2,1992,448
"Mathematik, Realität und Ästhetik - eine Bilderfolge zum VLSI Chip Design.",Bernhard Korte,Springer,978-3-540-53760-1,1991,115
Photoshop 5 - der sichere Weg zur erfolgreichen Bildbearbeitung.,Ulrike Häßler,Springer,978-3-540-64868-0,1999,270
"Basic proof theory, Second Edition.",Anne Sjerp Troelstra::Helmut Schwichtenberg,Cambridge University Press,978-0-521-77911-1,2000,417
"Computer organization, 3rd Edition.",V. Carl Hamacher::Zvonko G. Vranesic::Safwat G. Zaky,McGraw-Hill,978-0-07-025685-9,1990,617
"Parallele digitale optische Recheneinheiten - Modellierung, Simulation und Bewertung.",Werner Erhard::Dietmar Fey,Teubner,978-3-519-02293-0,1994,293
"Handbuch der Chipkarten - Aufbau, Funktionsweise, Einsatz.",Wolfgang Rankl::Wolfgang Effing,Hanser,978-3-446-17993-6,1995,307
Recognising human plans - issues for plan recognition in human-computer interaction.,Annika Waern,Royal Institute of Technology,978-91-7153-456-9,1996,201
Modern cryptanalysis - techniques for advanced code breaking.,Christopher Swenson,Wiley,978-0-470-13593-8,2008,236
Epistemic logic for AI and computer science.,John-Jules Charles Meyer::Wiebe van der Hoek,Cambridge University Press,978-0-521-46014-9,1995,354
Kryptographie - eine Einführung in die Methoden und Verfahren der geheimen Nachrichtenübermittlung.,Thomas Beth::Peter Heß::Klaus Wirl,Teubner,978-3-519-02465-1,1983,205
Der LATEX-Begleiter.,Michel Goossens::Frank Mittelbach::Alexander Samarin,Addison-Wesley,978-3-89319-646-3,1995,554
Multimedia im Netz.,Bernd Heinrichs,Springer,978-3-540-58349-3,1996,255
Barrierefreies Webdesign - Praxishandbuch für Webgestaltung und grafische Programmoberflächen.,Jan Eric Hellbusch,dpunkt.verlag,978-3-89864-260-6,2005,382
"Methoden wissensbasierter Systeme - Grundlagen, Algorithmen, Anwendungen, 5. Auflage.",Christoph Beierle::Gabriele Kern-Isberner,SpringerVieweg,978-3-8348-1896-6,2014,545
Struktur und Interpretation von Computerprogrammen - eine Informatik-Einführung (2. Aufl.).,Harold Abelson::Gerald J. Sussman::Julie Sussman,Springer,978-3-540-56934-3,1993,651
Compared to what? - an introduction to the analysis of algorithms.,Gregory J. E. Rawlins,Computer Science Press,978-0-7167-8243-8,1992,536
Echtzeitfähige Multisensorintegration für autonome mobile Roboter.,Klaus-Werner Jörg,BI-Wissenschaftsverlag,978-3-411-16951-1,1994,232
Computer facial animation.,Frederic I. Parke::Keith Waters,A K Peters,978-1-56881-014-0,1996,365
"Dynamic HTML - the definitive reference: a comprehensive resource for XHTML, CSS, DOM, and JavaScript (3. ed.).",Danny Goodman,O'Reilly,,2007,1307
Perl 6 and Parrot essentials - the community's rewrite of Perl (2. ed).,Allison Randal::Dan Sugalski::Leopold Tötsch,O'Reilly,978-0-596-00737-9,2004,279
"Programming Perl - Unmatched power for text processing and scripting: covers Version 5.14, 4th Edition.",Tom Christiansen::Brian D. Foy::Larry Wall,O'Reilly,978-0-596-00492-7,2012,1130
Kontrollierte Experimente in der Softwaretechnik - Potenzial und Methodik.,Lutz Prechelt,Springer,978-3-642-63985-2,2001,273
Degrees of unsolvability.,Joseph R. Shoenfield,North-Holland,978-0-7204-2061-6,1971,111
Fundamentals of computing (3. ed.).,Kamaljeet Sanghera,Kendall / Hunt Publ.,978-0-7575-4720-1,2007,728
X Window system program design and development.,Steven Mikes,Addison-Wesley,978-0-201-55077-1,1992,296
Integral and Diagnostic Intrusive Prediction of Speech Quality.,Nicolas Côté,Springer,978-3-642-18462-8,2011,248
SymbolicC++ - an introduction to computer algebra using object-oriented programming (2. ed.).,Kiat Shi Tan::Willi-Hans Steeb::Yorick Hardy,Springer,978-1-85233-260-0,2000,671
Mac OS X for Unix geeks - demystifying the geekier side of Mac OS X: now covers Leopard.,Brian Jepson::Ernest E. Rothman::Rich Rosen,O'Reilly,978-0-596-52062-5,2008,406
"The inventor mentor - programming object-oriented 3D graphics with Open Inventor, release 2.",Josie Wernecke,Addison-Wesley-Longman,978-0-201-62495-3,1999,514
Models of Massive Parallelism - Analysis of Cellular Automata and Neural Networks.,Max H. Garzon,Springer,978-3-540-56149-1::978-3-642-77907-7::978-3-642-77905-3,1995,272
"Service-Oriented Crowdsourcing - Architecture, Protocols and Algorithms.",Daniel Schall 0001,Springer,978-1-4614-5955-2,2012,94
Oracle web applications - PL/SQL developer's introduction ; covers Oracle8i.,Andrew Odewahn,O'Reilly,978-1-56592-687-5,1999,241
Computer networks - a systems approach (3. ed.).,Larry L. Peterson::Bruce S. Davie,Morgan Kaufmann,978-1-55860-832-0,2003,813
Disambiguation of Rich Inflection - Computational Morphology of Czech.,Jan Hajic,Charles University,978-80-246-0282-0,2004,328
Foundations of neural networks.,Tarun Khanna,Addison-Wesley,978-0-201-50036-3,1990,196
Highly parallel computing (2. ed.).,George S. Almási::Allan Gottlieb,Addison-Wesley,978-0-8053-0443-5,1994,689
Online-Recht - Rechtsfragen im Internet (2. Aufl.).,Tobias H. Strömer,dpunkt,978-3-932588-25-9,1999,383
Analyzing Computer Security - A Threat / Vulnerability / Countermeasure Approach.,Charles P. Pfleeger::Shari Lawrence Pfleeger,Prentice Hall,978-0-13-283940-2,2012,795
Programming languages - history and fundamentals.,Jean E. Sammet,Prentice Hall,,1969,785
What will be - die Zukunft des Informationszeitalters.,Michael L. Dertouzos,Springer,978-3-211-83210-3,1999,492
"Dias und Negative digitalisieren - mit Nikon Scan, VueScan, SilverFast.",Sascha Steinhoff,dpunkt.verlag,978-3-89864-352-8,2005,236
Knowledge systems through Prolog - an introduction.,Steven H. Kim,Oxford University Press,978-0-19-507241-9,1991,341
"Informatik-Projektentwicklung - Projekt, Anwendung, Nutzung (3. Aufl.).",Carl August Zehnder,vdf,978-3-7281-2765-5,2001,327
The computer image.,Alan Watt::Fabio Policarpo,Addison-Wesley-Longman,978-0-201-42298-6,1998,751
Scientific methods in mobile robotics - quantitative analysis of agent behaviour.,Ulrich Nehmzow,Springer,978-1-84628-019-1,2006,207
Constraint processing.,Rina Dechter,Elsevier Morgan Kaufmann,978-1-55860-890-0,2003,481
Objektorientierte Software in der kommerziellen Anwendung.,Peter Pagé,Springer,978-3-540-60136-4,1996,392
Linear and Nonlinear Functional Analysis with Applications - with 401 Problems and 52 Figures.,Philippe G. Ciarlet,SIAM,978-1-611972-58-0,2013,832
"Analog integrated circuits for communication - principles, simulation and design.",Donald O. Pederson::Kartikeya Mayaram,Kluwer,978-0-7923-9089-3,1990,568
"Speech and Audio Signal Processing - Processing and Perception of Speech and Music, Second Edition.",Ben Gold::Nelson Morgan::Dan Ellis,Wiley,978-0-470-19536-9,2011,661
Telexistence.,Susumu Tachi,World Scientific,978-981-283-633-5,2010,198
Handbook of computer vision algorithms in image algebra.,Gerhard X. Ritter::Joseph N. Wilson,CRC Press,978-0-8493-2636-3,1996,360
Nonlinear Control Under Nonconstant Delays.,Nikolaos Bekiaris-Liberis::Miroslav Krstic,SIAM,978-1-611973-17-4,2013,299
Fotografische Landschaften - Lehrbuch für Bildgestaltung.,Eib Eibelshäuser,dpunkt.verlag,978-3-89864-420-4,2007,187
"Postscript Handbuch, 2. Auflage.",,Addison-Wesley,978-3-925118-79-1,1989,321
Using Matlab to analyse and design control systems.,Naomi Ehrich Leonard::William S. Levine,Addison-Wesley,978-0-8053-2193-7,1995,212
Informationsmodellierung in XML und SGML.,Henning Lobin,Springer,978-3-540-65356-1,2000,234
Semantics of a call-by-need lambda calculus with McCarthy's amb for programm equivalence.,David Sabel,Verlag Dr. Hut,978-3-89963-866-0,2008,358
Smart card application development using Java.,Uwe Hansmann::Martin Scott Nicklous::Thomas Schäck::Frank Seliger,Springer,978-3-540-65829-0,2000,293
"Using Drupal - Choosing and Configuring Modules to Buildt Dynamic Websites: Covers Drupal 7, Second Edition.",Angela Byron::Addison Berry::Bruno De Bondt,O'Reilly,978-1-449-39052-5,2012,467
"Object-oriented analysis and design with applications, Third Edition.",Grady Booch::Robert A. Maksimchuk::Michael W. Engle::Bobbi J. Young::Jim Conallen,Addison-Wesley,978-0-201-89551-3,2007,691
Sichtweisen der Informatik.,Wolfgang Coy::Frieder Nake::Jörg-Martin Pflüger::Arno Rolf::Jürgen Seetzen,Vieweg,978-3-528-05263-8,1992,409
A primer in game theory.,Robert Gibbons,Harvester Wheatsheaf,978-0-7450-1159-2,1992,267
IRC hacks - 100 industrial-strength tips and tools.,Paul Mutton,O'Reilly,978-0-596-00687-7,2004,409
Computational Matrix Analysis.,Alan J. Laub,SIAM,978-1-611972-20-7,2012,154
Recursion theory for metamathematics.,Raymond M. Smullyan,Oxford University Press,978-0-19-508232-6,1993,163
The algorithmic beauty of sea shells.,Hans Meinhardt,Springer,978-3-540-57842-0,1995,204
Techniques in computational learning - an introduction.,Christopher J. Thornton,Chapman and Hall,978-0-412-40430-6,1992,313
Connectionsim and psychology - a psychological perspective on new connectionist research.,Philip T. Quinlan,Wheatsheaf,978-0-7450-0834-9,1991,293
Introduction to geographic information systems (4. ed.).,Kang-Tsung Chang,McGraw-Hill,978-0-07-310171-2,2008,450
Ajax design patterns - creating web 2.0 sites with programming and usability patterns.,Michael Mahemoff,O'Reilly,978-0-596-10180-0,2006,635
The Responsible Software Engineer,Colin Myers::Tracy Hall::Dave Pitt,Springer,978-3-540-76041-2,1997,342
Simply logical - intelligent reasoning by example.,Peter A. Flach,Wiley,978-0-471-94152-1,1994,240
Algorithms and data structures.,Niklaus Wirth,Prentice Hall,978-0-13-022005-9,1985,288
Matrix theory.,David W. Lewis,World Scientific,978-981-02-0689-5,1991,298
Lessons in grid computing - the system is a mirror.,Stuart Robbins,Wiley,978-0-471-79010-5,2006,363
Knowledge-based systems - terminology and references.,Kurt Sundermeyer,BI-Wissenschaftsverlag,978-3-411-14941-4,1991,222
"Handbook of stochastic methods - for physics, chemistry and the natural sciences, Second Edition.",Crispin W. Gardiner,Springer,978-3-540-61634-4,1985,444
Management und Optimierung des Testprozesses - ein praktischer Leitfaden für erfolgreiches Software-Testen mit TPI und TMap (2. Aufl.).,Martin Pol::Tim Koomen::Andreas Spillner 0002,dpunkt.verlag,978-3-89864-156-2,2002,543
"Rechnerstrukturen und Rechnerarchitekturen - Grundlagen, sequentielle Systeme, innovative Architekturen (2. Aufl.).",Bernd Bundschuh::Peter Sokolowsky,Vieweg,978-3-528-14389-3,1996,311
"Contributing to Eclipse - principles, patterns, and plug-ins.",Erich Gamma::Kent L. Beck,Addison-Wesley,978-0-321-20575-9,2004,395
"Computernetzwerke, 3. Auflage.",Andrew S. Tanenbaum,Pearson Studium,978-3-8273-7011-2,2000,873
Ein Rahmen zur Verifikation von SPS-Funktionsbausteinen in HOL.,Norbert Völker,Shaker,978-3-8265-4367-8,1998,201
Verifikation und Validierung für die Simulation in Produktion und Logistik - Vorgehensmodelle und Techniken.,Markus Rabe 0001::Sven Spieckermann::Sigrid Wenzel,Springer,978-3-540-35281-5,2008,237
Parsing Schemata - A Framework for Specification and Analysis of Parsing Algorithms.,Klaas Sikkel,Springer,978-3-540-61650-4::978-3-642-64451-1::978-3-642-60541-3,1997,365
SQL und MySQL 5 - interaktiv.,Andreas Buchmann::Ralf Smolarek,dpunkt.verlag,978-3-936121-02-5,2005,386
Source code optimization techniques for data flow dominated embedded software.,Heiko Falk::Peter Marwedel,Kluwer,978-1-4020-2822-9,2004,226
Theoretische Informatik - eine algorithmenorientierte Einführung.,Ingo Wegener,Teubner,978-3-519-02123-0,1993,235
Oracle8 design tips - an Oracle design companion.,Dave Ensor::Ian Stevenson,O'Reilly,978-1-56592-361-4,1997,115
MAP and TOP communications - standards and applications.,Adriano Valenzano::Claudio Demartini::Luigi Ciminiera,Addison-Wesley,978-0-201-41665-7,1992,541
Oracle PL / SQL programming - covers all versions through Oracle database 20g release 2 (4. Aufl.).,Steven Feuerstein::Bill Pribyl,O'Reilly,978-0-596-00977-9,2005,1171
Understanding neural networks and fuzzy logic - basic concepts and applications.,Stamatios V. Kartalopoulos,IEEE,978-0-7803-1128-2,1996,205
Telecommunications systems engineering using SDL.,Roberto Saracco::Jared Smith::Rick Reed,North-Holland,978-0-444-88084-0,1989,631
Die Software-Krise und ihre Macher.,Herbert Weber,Springer,978-3-540-55172-0,1992,150
Objektorientierte Datenbanken - ein Kompaß für die Praxis.,Andreas Meier 0001::Thomas Wüst,dpunkt,978-3-920993-95-9,1997,209
"Programming Interactivity - a Designer's Guide to Processing, Arduino, and openFrameworks, 2nd Edition.",Joshua Noble,O'Reilly,978-1-449-31144-5,2012,704
Quantum Computing for Computer Scientists.,Noson S. Yanofsky::Mirco Mannucci,Cambridge University Press,978-0-521-87996-5,2008,384
Multicore Programming Using the ParC Language.,Yosi Ben-Asher,Springer,978-1-4471-2163-3,2012,277
Fundamentals of critical argumentation.,Douglas N. Walton,Cambridge University Press,978-0-521-53020-0,2006,343
Mac annoyances - how to fix the most annoying things about your Mac.,John Rizzo,O'Reilly,978-0-596-00723-2,2005,156
Cognitive science in Europe - a report from the FAST programme of the Commission of the European Communities.,Michel Imbert::Paul Bertelson::Ruth Kempson::Daniel N. Osherson::Helmut Schnelle::Norbert A. Streitz::Arnold Thomassen::Paolo Viviani,Springer,978-3-540-96595-4,1987,236
Wissenschaftstheorie für Informatiker.,Wilhelm Büttemeyer,Spektrum Akademischer Verlag,978-3-86025-518-6,1995,149
Windows NT backup and restore - help for system administrators.,Jody Leber,O'Reilly,978-1-56592-272-3,1998,304
Axiomatic bargaining game theory.,Hans J. M. Peters,Springer,978-0-7923-1873-6,1992,240
Constraint-Programmierung - Grundlagen und Anwendungen.,Thom W. Frühwirth::Slim Abdennadher,Springer,978-3-540-60670-3,1997,165
Learning C# by Programming Games.,Arjan Egges::Jeroen Fokker::Mark H. Overmars,Springer,978-3-642-36579-9,2013,443
Software quality assurance - a practical approach.,Ernest Wallmüller,Prentice Hall,978-0-13-819780-3,1994,279
Distributed systems - concepts and designs (3. ed.).,George Coulouris::Jean Dollimore::Tim Kindberg,Addison-Wesley-Longman,978-0-201-61918-8,2002,772
"Encyclopedia of graphics file formats, 2nd Edition.",James D. Murray 0002::William vanRyper,Springer,978-1-56592-161-0,1996,1116
Essential Mac OS X Panther server administration - integrating Mac OS X server into heterogeneous networks.,Michael Bartosh::Ryan Faas,O'Reilly,978-0-596-00635-8,2005,822
Graphen und Algorithmen.,Andreas Brandstädt,Teubner,978-3-519-02131-5,1994,264
Regular Expressions Cookbook - Detailed Solutions in Eight Programming Languages.,Jan Goyvaerts::Steven Levithan,O'Reilly,978-0-596-52068-7,2009,493
Fuzzy sets and fuzzy logic - theory and applications.,George J. Klir::Bo Yuan 0005,Prentice Hall,978-0-13-101171-7,1995,574
From Machine-to-Machine to the Internet of Things - Introduction to a New Age of Intelligence.,Jan Höller::Vlasios Tsiatsis::Catherine Mulligan::Stefan Avesand::David Boyle 0001,Academic Press,978-0-12-407684-6,2014,
Computer-aided software design - build quality software with case.,Max J. Schindler,Wiley,978-0-471-50650-8,1990,475
"SQL and Relational Theory - How to Write Accurate SQL Code, Second Edition.",C. J. Date 0001,O'Reilly,978-1-449-31640-2,2012,428
Guide to Software Development - Designing and Managing the Life Cycle.,Arthur M. Langer,Springer,978-1-4471-2299-9,2012,350
Object-oriented software.,Ann Winblad::Samuel D. Edwards::David R. King,Addison-Wesley,978-0-201-50736-2,1990,291
Programming web services with XML-RPC - creating web application gateways.,Simon Saint-Laurent,O'Reilly,978-0-596-00119-3,2001,213
Fachlicher Entwurf von Workflow-Management-Anwendungen.,Frank R. Lehmann,Teubner,978-3-519-00258-1,1999,388
"Angewandte Kryptographie - Protokolle, Algorithmen und Sourcecode in C.",Bruce Schneier,Addison-Wesley,978-3-89319-854-2,1996,844
Mathematical Logic for Computer Science.,Zhongwan Lu,World Scientific,978-9971-50-251-5::978-981-4603-54-6,1989,248
sed and awk (2. ed.).,Dale Dougherty::Arnold Robbins,O'Reilly,978-1-56592-225-9,1997,407
"Multimodal Processing and Interaction, Audio, Video, Text",,Springer,978-0-387-76315-6::978-0-387-76316-3,2008,
Web publishing with Acrobat/PDF.,Thomas Merz,Springer,978-3-540-63762-2,1998,234
Probability and Computing: Randomized Algorithms and Probabilistic Analysis.,Michael Mitzenmacher::Eli Upfal,Cambridge University Press,978-0-521-83540-4::9780511813603,2005,352
Exploiting fine-grain parallelism in concurrent constraint languages.,Johan Montelius,University Uppsala,978-91-506-1215-8,1997,206
Boundary element methods.,Goong Chen::Jianxin Zhou,Academic Press,978-0-12-170940-2,1992,646
Computer-Netzwerke.,Andrew S. Tanenbaum,Wolfram's Verlag,978-3-925328-79-4,1992,801
A computational introduction to number theory and algebra.,Victor Shoup,Cambridge University Press,978-0-521-85154-1,2006,517
Artificial reality II.,Myron W. Krueger,Addison-Wesley,978-0-201-52260-0,1991,286
"Modern image processing - warping, morphing, and classical techniques.",Christopher D. Watkins::Alberto Sadun::Stephen Marenka,Academic Press,978-0-12-737860-2,1993,234
Course in mathematical logic.,Yuri I. Manin,Springer,978-3-540-90243-0,1977,286
Software-Engineering - methodische Projektabwicklung.,Ernst Denert,Springer,978-3-540-53404-4,1992,452
"Fuzzy, holographic, and parallel intelligence - the sixth-generation breakthrough.",Branko Soucek,Wiley,978-0-471-54772-3,1992,350
"Data Mining: Concepts and Techniques, Second Edition.",Jiawei Han 0001::Micheline Kamber,Elsevier,978-1-55860-901-3,2006,770
Network security using OpenSSL - cryptography for secure communications.,John Viega::Matt Messier::Pravir Chandra,O'Reilly,978-0-596-00270-1,2002,367
"Artificial Intelligence for Games, Second Edition.",Ian Millington::John Funge,Morgan Kaufmann,978-0-12-374731-0,2009,870
Software implementation.,Michael Marcotty,Prentice Hall,978-0-13-823493-5,1991,474
Die Programmiersprache Java (2. Aufl.).,Ken Arnold::James Gosling,Addison-Wesley-Longman,978-3-8273-1034-7,1996,366
"Software requirements and specifications - a lexicon of practice, principles and prejudices.",Michael A. Jackson 0001,Addison-Wesley,978-0-201-87712-0,1995,228
Object-oriented database system - design and implementation for advanced applications.,Hiroshi Ishikawa,Springer,978-4-431-70128-6,1993,164
Step - an introduction.,Jon Owen,Information Geometers Ltd,978-1-874728-04-7,1993,143
Systems software - an introduction to language processors and operating systems.,Frank Maddix,Ellis Horwood,978-0-13-877713-5,1992,234
Einführung in die Programmierung mit Haskell.,Manuel M. T. Chakravarty::Gabriele Keller,Pearson Studium,978-3-8273-7137-9,2004,199
"The algorithmic beauty of seaweeds, sponges and corals.",Jaap A. Kaandorp::Janet E. Kübler,Springer,978-3-540-67700-0,2001,193
Die Rechenmaschine und das Gehirn (6. Aufl.).,John von Neumann,Oldenbourg,978-3-486-45226-6,1991,77
Development of paradigms and models for interactive environments.,Jasminko Novak,GMD,978-3-88457-372-3,1999,118
"Performability modelling tools, evaluation techniques, and applications.",Boudewijn R. Haverkort,University Twente,978-90-9003915-2,1991,179
Enhancing e-learning with media-rich content and interactions.,Richard Caladine,Information Science Reference,978-1-59904-732-4,2008,322
"Basiswissen Softwaretest - Aus- und Weiterbildung zum Certified Tester, Foundation Level nach ISTQB-Standard (3. Aufl.).",Andreas Spillner 0002::Tilo Linz,dpunkt.verlag,978-3-89864-358-0,2005,276
Fundamentals of speech recognition.,Lawrence R. Rabiner::Biing-Hwang Juang,Prentice Hall,978-0-13-015157-5,1993,507
Parallel and distributed simulation systems.,Richard Fujimoto,Wiley,978-0-471-18383-9,2000,300
"Communication Networks - An Optimization, Control, and Stochastic Networks Perspective.",Ramakrishnan Srikant::Lei Ying 0001,Cambridge University Press,978-1-10-703605-5,2008,352
Client/Server-Systeme - Grundlagen und Architekturen.,Kurt Geihs,International Thomson,978-3-8266-0114-9,1995,94
Signal Processing for Communications.,Paolo Prandoni::Martin Vetterli,EPFL Press,978-1-4200-7046-0,2008,371
The metaphorical brain 2 - neural networks and beyond (2. ed.).,Michael A. Arbib,Wiley,978-0-471-09853-9,1989,458
"High performance MySQL - optimization, backups, replications, and load balancing: advanced tools and techniques for MySQL administrators.",Jeremy D. Zawodny::Derek J. Balling,O'Reilly,978-0-596-00306-7,2004,276
Highly parallel computing.,George S. Almási::Allan Gottlieb,Benjamin/Cummings,978-0-8053-0177-9,1989,519
"iPhone open application development - write, native, objective-c applications for the iPhone.",Jonathan Zdziarski,O'Reilly,978-0-596-51855-4,2008,267
PHP cookbook - solutions and examples for PHP programmers.,David Sklar::Adam Trachtenberg,O'Reilly,978-1-56592-681-3,2002,608
Artificial intelligence in geography.,Stan Openshaw::Christine Openshaw,Wiley,978-0-471-96991-4,1997,329
Reservoir simulation - mathematical techniques in oil recovery.,Zhangxin Chen,SIAM,978-0-89871-640-5,2007,219
"Civic Apps Competition Handbook - a Guide to Planning, Organizing, and Troubleshooting.",Kate Eyler-Werve::Virginia Carlson,O'Reilly,978-1-449-32264-9,2012,62
"Introduction to Lattices and Order, Second Edition.",Brian A. Davey::Hilary A. Priestley,Cambridge University Press,978-0-521-78451-1::978-0-511-80908-8,2002,298
Designing interactions.,Bill Moggridge,MIT Press,978-0-262-13474-3,2007,766
Rechnerarchitektur - Grundzüge des Aufbaus und der Organisation von Rechnerhardware.,Mario Dal Cin,Teubner,978-3-519-02941-0,1996,318
